GaiaDR3,n_refs,refs,has_rv,classes
508354326323462656,1,Risbud2025,False,T
508362641380198656,2,"Kos2024, Risbud2025",False,L
508364599885182720,2,"Kos2024, Risbud2025",True,L
508372983661200000,2,"Kos2024, Risbud2025",True,T
508480014249795328,1,Risbud2025,True,T
508628242157864320,2,"Kos2024, Risbud2025",True,L
508646521538349056,2,"Kos2024, Risbud2025",False,T
508699263739211648,2,"Kos2024, Risbud2025",True,L
508712251720020224,1,Risbud2025,True,L
508738571280785152,1,Risbud2025,False,T
509084161527323648,2,"Kos2024, Risbud2025",True,L
509095087924181760,1,Risbud2025,False,T
509143775673991680,1,Risbud2025,False,L
509197823543006208,1,Kos2024,True,L
509404840970004224,1,Risbud2025,True,T
509519327614280064,2,"Kos2024, Risbud2025",False,L
509549186228623104,2,"Kos2024, Risbud2025",True,L
509588493770684800,1,Risbud2025,False,T
509639655417778048,1,Risbud2025,False,T
509647352001116928,2,"Kos2024, Risbud2025",False,L
509766889531231488,1,Risbud2025,True,L
509775307667098880,1,Risbud2025,False,T
509869968750649856,2,"Kos2024, Risbud2025",False,L
509877356094079744,2,"Kos2024, Risbud2025",True,L
509990743228713472,1,Kos2024,True,L
510099251282098944,1,Kos2024,True,L
510214081525609088,1,Risbud2025,True,L
510499232992376704,1,Risbud2025,True,L
510538574893596800,1,Kos2024,True,L
510611722473132416,1,Risbud2025,False,T
510700787219505408,1,Kos2024,True,L
510771636998392448,2,"Kos2024, Risbud2025",True,L
510933368284357504,2,"Kos2024, Risbud2025",False,L
511175398283095424,1,Risbud2025,True,L
511302769831167104,2,"Kos2024, Risbud2025",True,L
511331352831714816,1,Risbud2025,False,T
511864963871197184,1,Risbud2025,False,L
513412075508112896,1,Risbud2025,True,T
513425205226693248,1,Kos2024,False,L
513514746705992192,1,Risbud2025,True,T
513544227362081024,1,Risbud2025,True,T
513838862122839296,1,Risbud2025,False,T
514540110023952768,1,Risbud2025,True,T
514570484032202112,1,Risbud2025,True,T
522579567246270208,2,"Kos2024, Risbud2025",True,L
523093760730953728,1,Risbud2025,True,L
523168802397171456,1,Risbud2025,True,L
523789957754407424,1,Risbud2025,False,L
526941570389797632,1,Risbud2025,True,L
2011124036990142208,1,Risbud2025,True,L
2011188671958740864,1,Risbud2025,True,L
2011880367858517632,1,Risbud2025,True,L
2012068521778577152,1,Risbud2025,False,L
2012298285351548800,1,Risbud2025,False,L
2012699057345086208,1,Risbud2025,True,L
2012737574612587776,1,Risbud2025,True,L
